	d	j	v	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency
IGHV5-2*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHV5-2*01__________NA__________IGHJ2-5*01	NA	NA	NA	NA	NA	2.0	1.0	NA	NA	NA	NA	NA	NA	33.0	NA	NA	NA
IGHV5-4*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	1.0	NA
IGHV5-5*01__________NA__________IGHJ2-2*01	NA	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHV5-5*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	1.0	NA
IGHV5-5*01__________NA__________IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA
IGHV5-7*01__________NA__________IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0
IGHV5-7*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
IGHV6-2*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
IGHV8-1*01__________NA__________IGHJ2-2*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
IGHV8-1*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
IGHV8-1*01__________NA__________IGHJ2-4*01	NA	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHV8-1*01__________NA__________IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	1.0	NA	NA	NA	NA
IGHV8-2*01__________NA__________IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
IGHV9-4*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
