	V	D	J	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
157	IGHV2-2*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
158	IGHV2-2*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
159	IGHV2-2*01	NA	IGHJ2-1*01	212.0	315.0	286.0	500.0	200.0	88.0	181.0	220.0	223.0	67.0	204.0	540.0	417.0	3139.0
160	IGHV2-2*01	NA	IGHJ2-2*01	136.0	112.0	35.0	8.0	70.0	1.0	56.0	85.0	57.0	780.0	1016.0	137.0	156.0	141.0
161	IGHV2-2*01	NA	IGHJ2-3*01	1.0	1.0	NA	1.0	4.0	NA	NA	NA	NA	NA	NA	NA	17.0	NA
162	IGHV2-2*01	NA	IGHJ2-4*01	111.0	197.0	95.0	57.0	116.0	10.0	131.0	86.0	85.0	25.0	100.0	222.0	227.0	9.0
163	IGHV2-2*01	NA	IGHJ2-5*01	81.0	136.0	82.0	178.0	45.0	25.0	55.0	152.0	76.0	204.0	25.0	186.0	93.0	121.0
164	IGHV2-3*01	NA	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	1.0	1.0	6.0	1.0	35.0	NA	NA	11.0
165	IGHV2-3*01	NA	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	2.0	1.0	NA	NA
166	IGHV2-3*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
167	IGHV2-3*01	NA	IGHJ2-4*01	NA	NA	NA	3.0	NA	NA	6.0	2.0	1.0	NA	7.0	1.0	1.0	NA
168	IGHV2-3*01	NA	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	3.0	2.0	NA	NA
169	IGHV3-2*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
170	IGHV3-2*01	NA	IGHJ2-1*01	2.0	10.0	2.0	23.0	26.0	3.0	14.0	25.0	13.0	13.0	25.0	37.0	43.0	3.0
171	IGHV3-2*01	NA	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	1.0	NA
